iteration,EPT,EPI
18900,1.035E-03,0.000E+00
19000,9.993E-04,0.000E+00
19100,1.081E-03,0.000E+00
19200,9.998E-04,0.000E+00
19300,1.042E-03,0.000E+00
19400,1.006E-03,0.000E+00
19500,9.806E-04,0.000E+00
19600,9.928E-04,0.000E+00
19700,1.060E-03,0.000E+00
19800,1.030E-03,0.000E+00
19900,9.930E-04,0.000E+00
20000,9.922E-04,0.000E+00
20100,9.745E-04,0.000E+00
20200,9.723E-04,0.000E+00
20300,1.054E-03,0.000E+00
20400,9.789E-04,0.000E+00
20500,1.002E-03,0.000E+00
20600,1.094E-03,0.000E+00
20700,1.076E-03,0.000E+00
20800,1.133E-03,0.000E+00
20900,1.078E-03,0.000E+00
21000,1.080E-03,0.000E+00
21100,1.079E-03,0.000E+00
21200,1.067E-03,0.000E+00
21300,1.042E-03,0.000E+00
21400,1.051E-03,0.000E+00
21500,1.006E-03,0.000E+00
21600,1.039E-03,0.000E+00
21700,1.000E-03,0.000E+00
21800,1.105E-03,0.000E+00
21900,1.071E-03,0.000E+00
22000,1.072E-03,0.000E+00
22100,1.036E-03,0.000E+00
22200,1.015E-03,0.000E+00
22300,1.050E-03,0.000E+00
22400,1.046E-03,0.000E+00
22500,1.028E-03,0.000E+00
22600,1.028E-03,0.000E+00
22700,1.065E-03,0.000E+00
22800,1.086E-03,0.000E+00
22900,1.138E-03,0.000E+00
23000,1.150E-03,0.000E+00
23100,1.111E-03,0.000E+00
23200,1.154E-03,0.000E+00
23300,1.150E-03,0.000E+00
23400,1.192E-03,0.000E+00
23500,1.163E-03,0.000E+00
23600,1.096E-03,0.000E+00
23700,1.014E-03,0.000E+00
23800,1.000E-03,0.000E+00
23900,9.720E-04,0.000E+00
24000,1.052E-03,0.000E+00
24100,1.128E-03,0.000E+00
24200,1.033E-03,0.000E+00
24300,9.576E-04,0.000E+00
24400,1.042E-03,0.000E+00
24500,1.074E-03,0.000E+00
24600,1.185E-03,0.000E+00
24700,1.038E-03,0.000E+00
24800,9.840E-04,0.000E+00
24900,9.958E-04,0.000E+00
25000,9.325E-04,0.000E+00
25100,9.813E-04,0.000E+00
25200,1.060E-03,0.000E+00
25300,1.061E-03,0.000E+00
25400,1.094E-03,0.000E+00
25500,1.045E-03,0.000E+00
25600,1.044E-03,0.000E+00
25700,1.082E-03,0.000E+00
25800,1.072E-03,0.000E+00
25900,1.086E-03,0.000E+00
26000,1.036E-03,0.000E+00
26100,9.760E-04,0.000E+00
26200,1.070E-03,0.000E+00
26300,1.012E-03,0.000E+00
26400,1.007E-03,0.000E+00
26500,9.828E-04,0.000E+00
26600,9.917E-04,0.000E+00
26700,1.037E-03,0.000E+00
26800,1.046E-03,0.000E+00
26900,1.012E-03,0.000E+00
27000,9.961E-04,0.000E+00
27100,9.894E-04,0.000E+00
27200,1.039E-03,0.000E+00
27300,1.010E-03,0.000E+00
27400,1.054E-03,0.000E+00
27500,1.066E-03,0.000E+00
27600,1.124E-03,0.000E+00
27700,1.148E-03,0.000E+00
27800,1.119E-03,0.000E+00
27900,1.139E-03,0.000E+00
28000,1.156E-03,0.000E+00
