iteration;EPT;EPI
18900;2.362E-04;0.000E+00
19000;1.565E-04;0.000E+00
19100;3.921E-04;0.000E+00
19200;2.326E-04;0.000E+00
19300;1.897E-04;0.000E+00
19400;1.440E-04;0.000E+00
19500;1.320E-04;0.000E+00
19600;1.242E-04;0.000E+00
19700;1.682E-04;0.000E+00
19800;3.132E-04;0.000E+00
19900;1.979E-04;0.000E+00
20000;2.369E-04;0.000E+00
20100;1.069E-04;0.000E+00
20200;9.526E-05;0.000E+00
20300;5.799E-05;0.000E+00
20400;5.696E-05;0.000E+00
20500;7.265E-05;0.000E+00
20600;8.634E-05;0.000E+00
20700;1.209E-04;0.000E+00
20800;1.976E-04;0.000E+00
20900;1.471E-04;0.000E+00
21000;1.374E-04;0.000E+00
21100;1.163E-04;0.000E+00
21200;7.912E-05;0.000E+00
21300;1.881E-04;0.000E+00
21400;2.435E-04;0.000E+00
21500;1.462E-04;0.000E+00
21600;8.157E-05;0.000E+00
21700;6.211E-05;0.000E+00
21800;8.320E-05;0.000E+00
21900;1.860E-04;0.000E+00
22000;1.096E-04;0.000E+00
22100;1.021E-04;0.000E+00
22200;1.949E-04;0.000E+00
22300;8.668E-05;0.000E+00
22400;6.096E-05;0.000E+00
22500;5.367E-05;0.000E+00
22600;1.172E-04;0.000E+00
22700;2.354E-04;0.000E+00
22800;1.514E-04;0.000E+00
22900;6.316E-05;0.000E+00
23000;5.338E-05;0.000E+00
23100;3.844E-05;0.000E+00
23200;1.174E-04;0.000E+00
23300;1.213E-04;0.000E+00
23400;5.739E-05;0.000E+00
23500;3.231E-05;0.000E+00
23600;2.841E-05;0.000E+00
23700;3.823E-05;0.000E+00
23800;4.474E-05;0.000E+00
23900;4.833E-05;0.000E+00
24000;4.543E-05;0.000E+00
24100;5.100E-05;0.000E+00
24200;5.754E-05;0.000E+00
24300;6.632E-05;0.000E+00
24400;8.096E-05;0.000E+00
24500;9.763E-05;0.000E+00
24600;1.072E-04;0.000E+00
24700;1.085E-04;0.000E+00
24800;9.378E-05;0.000E+00
24900;5.572E-05;0.000E+00
25000;5.631E-05;0.000E+00
25100;5.137E-05;0.000E+00
25200;5.945E-05;0.000E+00
25300;9.367E-05;0.000E+00
25400;1.313E-04;0.000E+00
25500;8.513E-05;0.000E+00
25600;3.575E-05;0.000E+00
25700;2.444E-05;0.000E+00
25800;2.390E-05;0.000E+00
25900;2.327E-05;0.000E+00
26000;2.221E-05;0.000E+00
26100;2.222E-05;0.000E+00
26200;2.170E-05;0.000E+00
26300;2.070E-05;0.000E+00
26400;3.123E-05;0.000E+00
26500;7.891E-05;0.000E+00
26600;8.650E-05;0.000E+00
26700;4.441E-05;0.000E+00
26800;2.379E-05;0.000E+00
26900;2.809E-05;0.000E+00
27000;6.765E-05;0.000E+00
27100;6.733E-05;0.000E+00
27200;1.814E-05;0.000E+00
27300;2.455E-05;0.000E+00
27400;1.854E-05;0.000E+00
27500;1.835E-05;0.000E+00
27600;3.471E-05;0.000E+00
27700;1.751E-05;0.000E+00
27800;3.611E-05;0.000E+00
27900;4.922E-05;0.000E+00
28000;2.144E-05;0.000E+00
28100;2.078E-05;0.000E+00
28200;2.045E-05;0.000E+00
28300;3.421E-05;0.000E+00
28400;5.982E-05;0.000E+00
28500;4.650E-05;0.000E+00
28600;2.858E-05;0.000E+00
28700;2.650E-05;0.000E+00
28800;5.524E-05;0.000E+00
28900;8.683E-05;0.000E+00
29000;2.493E-05;0.000E+00
29100;4.870E-05;0.000E+00
29200;1.703E-05;0.000E+00
29300;1.681E-05;0.000E+00
29400;1.551E-05;0.000E+00
29500;1.545E-05;0.000E+00
29600;1.539E-05;0.000E+00
29700;1.633E-05;0.000E+00
29800;1.527E-05;0.000E+00
29900;1.521E-05;0.000E+00
30000;1.515E-05;0.000E+00
30100;1.510E-05;0.000E+00
30200;1.505E-05;0.000E+00
30300;1.502E-05;0.000E+00
30400;1.499E-05;0.000E+00
30500;1.494E-05;0.000E+00
30600;1.487E-05;0.000E+00
30700;1.479E-05;0.000E+00
30800;1.470E-05;0.000E+00
30900;1.460E-05;0.000E+00
31000;2.677E-05;0.000E+00
31100;4.523E-05;0.000E+00
31200;3.047E-05;0.000E+00
31300;1.421E-05;0.000E+00
31400;2.229E-05;0.000E+00
31500;1.401E-05;0.000E+00
31600;2.051E-05;0.000E+00
31700;1.387E-05;0.000E+00
31800;2.238E-05;0.000E+00
31900;5.125E-05;0.000E+00
32000;4.145E-05;0.000E+00
32100;2.777E-05;0.000E+00
32200;2.267E-05;0.000E+00
32300;1.334E-05;0.000E+00
32400;1.328E-05;0.000E+00
32500;1.322E-05;0.000E+00
32600;1.316E-05;0.000E+00
32700;1.310E-05;0.000E+00
32800;1.537E-05;0.000E+00
32900;1.298E-05;0.000E+00
33000;1.292E-05;0.000E+00
33100;1.451E-05;0.000E+00
33200;1.279E-05;0.000E+00
33300;1.273E-05;0.000E+00
33400;1.267E-05;0.000E+00
33500;1.260E-05;0.000E+00
33600;1.438E-05;0.000E+00
33700;1.246E-05;0.000E+00
33800;1.238E-05;0.000E+00
33900;1.239E-05;0.000E+00
34000;1.222E-05;0.000E+00
34100;1.214E-05;0.000E+00
34200;1.205E-05;0.000E+00
34300;1.238E-05;0.000E+00
34400;1.188E-05;0.000E+00
34500;1.179E-05;0.000E+00
34600;1.285E-05;0.000E+00
34700;1.163E-05;0.000E+00
34800;1.155E-05;0.000E+00
34900;1.272E-05;0.000E+00
35000;1.139E-05;0.000E+00
35100;1.131E-05;0.000E+00
35200;1.124E-05;0.000E+00
35300;1.243E-05;0.000E+00
35400;1.110E-05;0.000E+00
35500;1.103E-05;0.000E+00
35600;1.337E-05;0.000E+00
35700;1.090E-05;0.000E+00
35800;1.084E-05;0.000E+00
35900;1.078E-05;0.000E+00
36000;1.231E-05;0.000E+00
36100;1.064E-05;0.000E+00
36200;1.057E-05;0.000E+00
36300;1.210E-05;0.000E+00
36400;1.191E-05;0.000E+00
36500;1.038E-05;0.000E+00
36600;1.032E-05;0.000E+00
36700;1.685E-05;0.000E+00
36800;1.020E-05;0.000E+00
36900;1.014E-05;0.000E+00
37000;1.315E-05;0.000E+00
37100;1.183E-05;0.000E+00
37200;9.949E-06;0.000E+00
37300;9.881E-06;0.000E+00
37400;1.349E-05;0.000E+00
37500;1.063E-05;0.000E+00
37600;9.675E-06;0.000E+00
37700;1.106E-05;0.000E+00
37800;1.365E-05;0.000E+00
37900;9.575E-06;0.000E+00
38000;9.409E-06;0.000E+00
38100;1.117E-05;0.000E+00
38200;1.120E-05;0.000E+00
38300;9.797E-06;0.000E+00
38400;9.167E-06;0.000E+00
38500;1.174E-05;0.000E+00
38600;1.106E-05;0.000E+00
38700;8.996E-06;0.000E+00
38800;1.212E-05;0.000E+00
38900;1.133E-05;0.000E+00
39000;8.968E-06;0.000E+00
39100;1.047E-05;0.000E+00
39200;1.427E-05;0.000E+00
39300;1.065E-05;0.000E+00
39400;8.615E-06;0.000E+00
39500;1.584E-05;0.000E+00
39600;1.100E-05;0.000E+00
39700;8.588E-06;0.000E+00
39800;9.411E-06;0.000E+00
39900;1.291E-05;0.000E+00
40000;1.063E-05;0.000E+00
40100;8.233E-06;0.000E+00
40200;1.220E-05;0.000E+00
40300;1.364E-05;0.000E+00
40400;8.080E-06;0.000E+00
40500;8.010E-06;0.000E+00
40600;1.295E-05;0.000E+00
40700;9.995E-06;0.000E+00
40800;1.010E-05;0.000E+00
40900;8.121E-06;0.000E+00
41000;1.258E-05;0.000E+00
41100;1.101E-05;0.000E+00
41200;8.272E-06;0.000E+00
41300;1.245E-05;0.000E+00
41400;1.173E-05;0.000E+00
41500;9.637E-06;0.000E+00
41600;9.860E-06;0.000E+00
41700;1.614E-05;0.000E+00
41800;1.032E-05;0.000E+00
41900;7.340E-06;0.000E+00
42000;1.253E-05;0.000E+00
42100;1.191E-05;0.000E+00
42200;9.700E-06;0.000E+00
42300;7.064E-06;0.000E+00
42400;1.301E-05;0.000E+00
42500;1.048E-05;0.000E+00
42600;7.161E-06;0.000E+00
42700;9.950E-06;0.000E+00
42800;1.353E-05;0.000E+00
42900;9.830E-06;0.000E+00
43000;7.002E-06;0.000E+00
43100;1.396E-05;0.000E+00
43200;9.946E-06;0.000E+00
43300;7.978E-06;0.000E+00
43400;8.939E-06;0.000E+00
43500;1.117E-05;0.000E+00
43600;9.548E-06;0.000E+00
43700;7.204E-06;0.000E+00
43800;1.332E-05;0.000E+00
43900;1.104E-05;0.000E+00
44000;7.912E-06;0.000E+00
44100;1.115E-05;0.000E+00
44200;1.359E-05;0.000E+00
44300;9.687E-06;0.000E+00
44400;8.517E-06;0.000E+00
44500;1.073E-05;0.000E+00
44600;1.152E-05;0.000E+00
44700;9.723E-06;0.000E+00
44800;7.726E-06;0.000E+00
44900;1.241E-05;0.000E+00
45000;1.111E-05;0.000E+00
45100;6.696E-06;0.000E+00
45200;1.067E-05;0.000E+00
45300;1.476E-05;0.000E+00
45400;8.861E-06;0.000E+00
45500;7.401E-06;0.000E+00
45600;1.613E-05;0.000E+00
45700;1.035E-05;0.000E+00
45800;7.462E-06;0.000E+00
45900;1.163E-05;0.000E+00
46000;1.291E-05;0.000E+00
46100;9.288E-06;0.000E+00
46200;6.930E-06;0.000E+00
